campaign,condition_id,trial,payload,modulation,fec,repeats,inter_frame_silence,symbol_duration,frequency_zero,frequency_one,spacing_hz,noise_level,attenuation,success,ber,snr_db,airtime_s,coded_bits,payload_bytes,sync_fail,crc_fail,decode_cpu_ms,provenance
tsym,tsym_T0.200_N0.002_cpfsk_none_r1,0,HELLO,cpfsk,none,1,0.0,0.2,3000.0,8000.0,5000.0,0.002,0.6,1,0.0,77.41458486558439,20.8,104,5,0,0,1165.1320919627324,SIMULATED_RX
tsym,tsym_T0.200_N0.002_cpfsk_none_r1,1,HELLO,cpfsk,none,1,0.0,0.2,3000.0,8000.0,5000.0,0.002,0.6,1,0.0,80.30306391420362,20.8,104,5,0,0,1162.753776065074,SIMULATED_RX
tsym,tsym_T0.200_N0.002_cpfsk_none_r1,2,HELLO,cpfsk,none,1,0.0,0.2,3000.0,8000.0,5000.0,0.002,0.6,1,0.0,76.26055948649783,20.8,104,5,0,0,1162.453216034919,SIMULATED_RX
tsym,tsym_T0.200_N0.002_cpfsk_none_r1,3,HELLO,cpfsk,none,1,0.0,0.2,3000.0,8000.0,5000.0,0.002,0.6,1,0.0,75.291275188852,20.8,104,5,0,0,1161.9076990755275,SIMULATED_RX
tsym,tsym_T0.200_N0.002_cpfsk_none_r1,4,HELLO,cpfsk,none,1,0.0,0.2,3000.0,8000.0,5000.0,0.002,0.6,1,0.0,76.30036378007,20.8,104,5,0,0,1166.8348549865186,SIMULATED_RX
tsym,tsym_T0.200_N0.002_cpfsk_none_r1,5,HELLO,cpfsk,none,1,0.0,0.2,3000.0,8000.0,5000.0,0.002,0.6,1,0.0,79.31227976461119,20.8,104,5,0,0,1173.0034799547866,SIMULATED_RX
tsym,tsym_T0.200_N0.002_cpfsk_none_r1,6,HELLO,cpfsk,none,1,0.0,0.2,3000.0,8000.0,5000.0,0.002,0.6,1,0.0,77.80822289608084,20.8,104,5,0,0,1172.390858992003,SIMULATED_RX
tsym,tsym_T0.200_N0.002_cpfsk_none_r1,7,HELLO,cpfsk,none,1,0.0,0.2,3000.0,8000.0,5000.0,0.002,0.6,1,0.0,78.22393830598843,20.8,104,5,0,0,1172.3846229724586,SIMULATED_RX
tsym,tsym_T0.200_N0.002_cpfsk_none_r1,8,HELLO,cpfsk,none,1,0.0,0.2,3000.0,8000.0,5000.0,0.002,0.6,1,0.0,75.36184694997489,20.8,104,5,0,0,1173.9318050676957,SIMULATED_RX
tsym,tsym_T0.200_N0.002_cpfsk_none_r1,9,HELLO,cpfsk,none,1,0.0,0.2,3000.0,8000.0,5000.0,0.002,0.6,1,0.0,82.12740879169914,20.8,104,5,0,0,1173.1337959645316,SIMULATED_RX
tsym,tsym_T0.200_N0.002_cpfsk_none_r1,10,HELLO,cpfsk,none,1,0.0,0.2,3000.0,8000.0,5000.0,0.002,0.6,1,0.0,76.8129194687192,20.8,104,5,0,0,1172.4739659111947,SIMULATED_RX
tsym,tsym_T0.200_N0.002_cpfsk_none_r1,11,HELLO,cpfsk,none,1,0.0,0.2,3000.0,8000.0,5000.0,0.002,0.6,1,0.0,74.96567760625643,20.8,104,5,0,0,1172.8045740164816,SIMULATED_RX
