condition_id,campaign,n,successes,fer,frame_success_rate,wilson_lo,wilson_hi,mean_ber,sync_fail,crc_fail,payload_goodput_bps,raw_symbol_rate_bps,mean_airtime_s,mean_decode_cpu_ms,modulation,fec,repeats,symbol_duration,frequency_zero,frequency_one,spacing_hz,noise_level,attenuation,payload,provenance
cliff_T0.020_N0.05_A0.10,cliff,12,12,0.0,1.0,0.7574992425007574,1.0,0.0,0,0,19.23076923076923,50.0,2.08,143.75537044058242,cpfsk,none,1,0.02,3000.0,8000.0,5000.0,0.05,0.1,HELLO,SIMULATED_RX
cliff_T0.020_N0.10_A0.10,cliff,12,9,0.25,0.75,0.46768966087934005,0.9110599603710386,0.02003205128205128,0,3,14.423076923076923,50.0,2.08,370.48486090498045,cpfsk,none,1,0.02,3000.0,8000.0,5000.0,0.1,0.1,HELLO,SIMULATED_RX
cliff_T0.020_N0.20_A0.20,cliff,12,11,0.08333333333333337,0.9166666666666666,0.6461140782014047,0.9851352905492264,0.002403846153846154,0,1,17.628205128205128,50.0,2.08,288.1630215269979,cpfsk,none,1,0.02,3000.0,8000.0,5000.0,0.2,0.2,HELLO,SIMULATED_RX
cliff_T0.030_N0.05_A0.10,cliff,12,12,0.0,1.0,0.7574992425007574,1.0,0.0,0,0,12.820512820512821,33.333333333333336,3.1199999999999997,190.67218416603282,cpfsk,none,1,0.03,3000.0,8000.0,5000.0,0.05,0.1,HELLO,SIMULATED_RX
cliff_T0.030_N0.10_A0.10,cliff,12,12,0.0,1.0,0.7574992425007574,1.0,0.0,0,0,12.820512820512821,33.333333333333336,3.1199999999999997,286.3004904938862,cpfsk,none,1,0.03,3000.0,8000.0,5000.0,0.1,0.1,HELLO,SIMULATED_RX
cliff_T0.030_N0.20_A0.20,cliff,12,12,0.0,1.0,0.7574992425007574,1.0,0.0,0,0,12.820512820512821,33.333333333333336,3.1199999999999997,243.03737506852485,cpfsk,none,1,0.03,3000.0,8000.0,5000.0,0.2,0.2,HELLO,SIMULATED_RX
cliff_T0.040_N0.05_A0.10,cliff,12,12,0.0,1.0,0.7574992425007574,1.0,0.0,0,0,9.615384615384615,25.0,4.16,251.71059956968142,cpfsk,none,1,0.04,3000.0,8000.0,5000.0,0.05,0.1,HELLO,SIMULATED_RX
cliff_T0.040_N0.10_A0.10,cliff,12,12,0.0,1.0,0.7574992425007574,1.0,0.0,0,0,9.615384615384615,25.0,4.16,295.74957717947353,cpfsk,none,1,0.04,3000.0,8000.0,5000.0,0.1,0.1,HELLO,SIMULATED_RX
cliff_T0.040_N0.20_A0.20,cliff,12,12,0.0,1.0,0.7574992425007574,1.0,0.0,0,0,9.615384615384615,25.0,4.16,255.08750200970098,cpfsk,none,1,0.04,3000.0,8000.0,5000.0,0.2,0.2,HELLO,SIMULATED_RX
cliff_T0.050_N0.05_A0.10,cliff,12,12,0.0,1.0,0.7574992425007574,1.0,0.0,0,0,7.692307692307692,20.0,5.2,315.1327647598616,cpfsk,none,1,0.05,3000.0,8000.0,5000.0,0.05,0.1,HELLO,SIMULATED_RX
